id,name,family,kind,summary,evidence,url
GH-0003,der-tisch,tisch-multi-perspective,multi-view AI application,"TiSCH-Familie mit mehreren dialogischen Perspektivräumen, Backend und mobilen/webbasierten Oberflächen für strukturierte Mehrperspektivität.",historical-handoff,https://github.com/ralfarminkirchner-netizen/der-tisch
GH-0004,DEiN-SEiN,moonfingers-philosophy,project shell,"Öffentliche Projekthülle der SEiN-Familie für persönliche Existenz-, Selbst- und Bewusstseinsräume.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/DEiN-SEiN
GH-0010,mindlaxy2-vault,mindlaxy-knowledge-lineage,public vault repository,Öffentliches Vault-Repository der MiNDLAXY-Linie; wahrscheinlich zweite oder migrierte Fassung.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/mindlaxy2-vault
GH-0015,mindlaxy-core-engine,mindlaxy-knowledge-lineage,core engine shell,Kleine öffentliche Engine-Hülle der MiNDLAXY-Linie.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/mindlaxy-core-engine
GH-0016,brainstorm-spiral,mindlaxy-knowledge-lineage,brainstorming prototype,"Öffentlicher Spiralraum für Ideenaufnahme, Weiterbewegung oder Strukturierung.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/brainstorm-spiral
GH-0017,claude-obsidian,mindlaxy-knowledge-lineage,Obsidian integration,Integration oder Arbeitsumgebung zwischen Claude und Obsidian für lokale Wissens- und Textarbeit.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/claude-obsidian
GH-0022,spiral-wiki-app,mindlaxy-knowledge-lineage,wiki application,Substanzielle öffentliche Wiki-Anwendung der SPiRAL-/MiNDLAXY-Linie.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/spiral-wiki-app
GH-0030,klebensfroh,klebensfroh-creative,public creative website,"React-/Vite-Website für Petras handgemachte Tier-Verpackungen, Bastelideen, Galerie und Auftragsanfragen.",source-described,https://github.com/ralfarminkirchner-netizen/klebensfroh
GH-0031,Aithentik-Alpha-Loop,integrity-autonomy-governance,agentic loop prototype,"Öffentliche Alpha-Loop-Fassung der AiTHENTiK-Linie für wiederholte, integritätsgebundene Verarbeitung.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/Aithentik-Alpha-Loop
GH-0034,stephs-kreativwelt,klebensfroh-creative,public creative website,Öffentliche Kreativwelt-Website für ein eigenständiges Gestaltungs- oder Verkaufsprojekt.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/stephs-kreativwelt
GH-0035,deutsch-party-brett,faska-learning-documentation,language learning game,Öffentliches spielerisches Deutsch-Lernbrett mit umfangreichen Medienassets.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/deutsch-party-brett
GH-0036,faska-flow-pro,faska-learning-documentation,React learning app,FASKA-Flow-Anwendung; der aktuelle README liefert nur die generische React-/Vite-Vorlage und belegt die Fachfunktion deshalb nicht ausreichend.,repository-observed,https://github.com/ralfarminkirchner-netizen/faska-flow-pro
GH-0037,AiTHENTiSCGH,tisch-multi-perspective,public TiSCH variant,Öffentliche AiTHENTiSCH-Fassung oder GitHub-Distribution innerhalb der TiSCH-Familie.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/AiTHENTiSCGH
GH-0038,rhyme-engine,music-language-media,public language engine,"Öffentliche Reim- und wahrscheinlich Phonetik-Engine für Rap-, Text- oder Sprachproduktion.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/rhyme-engine
GH-0040,ridge-racer-clone,games-interactive-worlds,public racing prototype,Öffentlicher Rennspielprototyp in Anlehnung an Ridge-Racer-Mechaniken.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/ridge-racer-clone
GH-0048,growing-ninja-game,faska-learning-documentation,public learning game prototype,Kleine öffentliche Fassung des Growing-Ninja-Lernspiels.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/growing-ninja-game
GH-0050,growing-ninja-2,faska-learning-documentation,public learning game,Substanzielle öffentliche zweite Fassung des Growing-Ninja-Lernspiels.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/growing-ninja-2
GH-0051,faska-flow-2-wortarten-ninja,faska-learning-documentation,public language learning game,Öffentliches Wortarten-Lernspiel der FASKA-Flow-/Ninja-Linie.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/faska-flow-2-wortarten-ninja
GH-0052,MOONFiNGERS-2,moonfingers-philosophy,public app variant,Kleine öffentliche zweite oder exportierte Fassung von MOONFiNGERS.,title-and-context-derived,https://github.com/ralfarminkirchner-netizen/MOONFiNGERS-2
GH-0053,neuro-psych-map,adhs-neuro-trauma,public psychoeducational visualization,"Interaktive Karte zu ADHS, Trauma, OCD, RSD, Autismus, Tourette und verwandten Phänomenen.",source-described,https://github.com/ralfarminkirchner-netizen/neuro-psych-map
GH-0055,hexagon-al-spiel,faska-learning-documentation,public learning game,"Öffentliches Hexagon-Lernspiel, im lokalen Bestand auch als Wortarten-Spiel belegt.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/hexagon-al-spiel
GH-0056,looptisch,music-language-media,public loop/music tool,"Öffentlicher LOOPTiSCH für Loop-, Audio- oder Medienarbeit innerhalb der TiSCH-Metapher.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/looptisch
GH-0057,aithentisch-tisch,tisch-multi-perspective,public TiSCH prototype,"Kleine öffentliche AiTHENTiSCH-Fassung für Perspektiven-, Integritäts- oder Autorisierungsarbeit.",title-and-context-derived,https://github.com/ralfarminkirchner-netizen/aithentisch-tisch
